Barcode,Loc,Year,Test,Plot,Entry,Rep,Stock,Pedigree,DTA,DTS,PHT,FHT,EHT,STD,LDG,PlotWt,Moist,TestWt,Yield,YieldMoist,BuA,Population,PlantDate,Seed,Field,SeqNo,Range,Row,FtLong,FtAlley,FtWide,NumRows,HarvDate,AFppb,NOTES,Germination
CS18-YC1I-001,CS,2018,YC1I,001,Y355,1,CS15-YUAN-444-B4,(Tx740/NC356)-18-024-1-B-B4,78,79,56,42,29,13,,,,,,,#DIV/0!,26648,3/14/2018,24,,,7,79,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-002,CS,2018,YC1I,002,Y436,1,CS15-YUAN-454-B3,(Tx740/NC356)-18-107-2-1-B3,77,79,55,38,25,13,,,,,,,,26648,3/14/2018,24,,,7,80,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-003,CS,2018,YC1I,003,Y388,1,CS16-YUAV-517-B10,(Tx740/NC356)-18-129-1-1-B2-B10,79,79,66,52,26,14,,,,,,,,28698,3/14/2018,24,,,7,81,12.5,4,2.5,1,,,,58.33%
CS18-YC1I-004,CS,2018,YC1I,004,Y391,1,CS16-YUAV-452-B6,(Tx740/NC356)-18-135-1-1-B4-B6,83,84,76,57,31,12,,,,,,,,24599,3/14/2018,24,,,7,82,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-005,CS,2018,YC1I,005,Y434,1,CS15-YUAN-450-B4,(Tx740/NC356)-18-099-2-1-B4,75,75,69,53,28,12,,,,,,,,24599,3/14/2018,24,,,7,83,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-006,CS,2018,YC1I,006,Y366,1,CS14-YUAN-366-1,(Tx740/NC356)-18-065-1,78,79,71,51,28,6,,,,,,,,12299,3/14/2018,24,,,7,84,12.5,4,2.5,1,,,,25.00%
CS18-YC1I-007,CS,2018,YC1I,007,Y386,1,WF17-YUAN-057-B,(Tx740/NC356)-18-126-1-B2-B4-B,76,77,60,43,27,16,,,,,,,,32798,3/14/2018,24,,,7,85,12.5,4,2.5,1,,,,66.67%
CS18-YC1I-008,CS,2018,YC1I,008,Y373,1,CS14-YUAN-373-1,(Tx740/NC356)-18-084-1,79,80,65,48,25,12,,,,,,,,24599,3/14/2018,24,,,7,86,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-009,CS,2018,YC1I,009,LAMA_YC,1,LAMA_YC,,79,81,64,48,18,9,,,,,,,,18449,3/14/2018,24,,,8,86,12.5,4,2.5,1,,,,37.50%
CS18-YC1I-010,CS,2018,YC1I,010,Y375,1,WF14-YUAN-375-1,(Tx740/NC356)-18-086-1-1,74,77,66,48,26,11,,,,,,,,22549,3/14/2018,24,,,8,85,12.5,4,2.5,1,,,,45.83%
CS18-YC1I-011,CS,2018,YC1I,011,Y393,1,CS16-YUAV-424-B4,(Tx740/NC356)-18-141-1-1-B2-B4,79,81,66,50,29,14,,,,,,,,28698,3/14/2018,24,,,8,84,12.5,4,2.5,1,,,,58.33%
CS18-YC1I-012,CS,2018,YC1I,012,Y439,1,CS16-YUAV-502-B7,(Tx740/NC356)-18-121-2-1-B2-B7,77,82,58,41,20,14,,,,,,,,28698,3/14/2018,24,,,8,83,12.5,4,2.5,1,,,,58.33%
CS18-YC1I-013,CS,2018,YC1I,013,Y445,1,CS14-YUAN-390-2,(Tx740/NC356)-18-131-2,79,81,66,47,22,12,,,,,,,,24599,3/14/2018,24,,,8,82,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-014,CS,2018,YC1I,014,PHV63,1,PHV63,,76,75,63,49,24,15,,,,,,,,30748,3/14/2018,24,,,8,81,12.5,4,2.5,1,,,,62.50%
CS18-YC1I-015,CS,2018,YC1I,015,Y390,1,WF17-YUAN-060-B,(Tx740/NC356)-18-131-1-B4-B,78,79,68,54,29,14,,,,,,,,28698,3/14/2018,24,,,8,80,12.5,4,2.5,1,,,,58.33%
CS18-YC1I-016,CS,2018,YC1I,016,Y348,1,CS16-YUAV-454-B10,(Tx740/NC356)-18-005-1-1-B2-B10,75,74,72,55,28,15,,,,,,,,30748,3/14/2018,24,,,8,79,12.5,4,2.5,1,,,,62.50%
CS18-YC1I-017,CS,2018,YC1I,017,Y364,1,CS14-YUAN-364-1,(Tx740/NC356)-18-053-1,78,83,57,43,24,12,,,,,,,,24599,3/14/2018,24,,,9,79,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-018,CS,2018,YC1I,018,Y419,1,CS16-YUAV-489-B7,(Tx740/NC356)-18-053-2-B3-B7,77,78,75,60,32,12,,,,,,,,24599,3/14/2018,24,,,9,80,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-019,CS,2018,YC1I,019,Y423,1,WF17-YUAN-073-B,(Tx740/NC356)-18-068-2-1-B2-B,74,77,71,53,23,13,,,,,,,,26648,3/14/2018,24,,,9,81,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-020,CS,2018,YC1I,020,Y451,1,CS15-YUAN-472-B2,(Tx740/NC356)-18-151-2-1-B2,79,79,78,65,32,9,,,,,,,,18449,3/14/2018,24,,,9,82,12.5,4,2.5,1,,,,37.50%
CS18-YC1I-021,CS,2018,YC1I,021,Y368,1,CS14-YUAN-368-1,(Tx740/NC356)-18-068-1,77,80,69,50,25,12,,,,,,,,24599,3/14/2018,24,,,9,83,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-022,CS,2018,YC1I,022,Y398,1,CS16-YUAV-453-B5,(Tx740/NC356)-18-157-1-1-1-B5,82,82,60,48,27,10,,,,,,,,20499,3/14/2018,24,,,9,84,12.5,4,2.5,1,,,,41.67%
CS18-YC1I-023,CS,2018,YC1I,023,Y438,1,CS16-YUAV-515-B8,(Tx740/NC356)-18-118-2-B3-B8,75,75,63,50,21,12,,,,,,,,24599,3/14/2018,24,,,9,85,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-024,CS,2018,YC1I,024,Y421,1,CS15-YUAN-436-B4,(Tx740/NC356)-18-065-2-1-B4,77,79,64,51,30,20,,,,,,,,40998,3/14/2018,24,,,9,86,12.5,4,2.5,1,,,,83.33%
CS18-YC1I-025,CS,2018,YC1I,025,Y443,1,WF17-YUAN-080-B,(Tx740/NC356)-18-129-2-1-B2-B,76,77,67,53,26,17,,,,,,,,34848,3/14/2018,24,,,10,86,12.5,4,2.5,1,,,,70.83%
CS18-YC1I-026,CS,2018,YC1I,026,Y395,1,WF17-YUAN-063-B,(Tx740/NC356)-18-146-1-B3-B3-B,82,82,57,41,26,10,,,,,,,,20499,3/14/2018,24,,,10,85,12.5,4,2.5,1,,,,41.67%
CS18-YC1I-027,CS,2018,YC1I,027,Y435,1,CS16-YUAV-465-B6,(Tx740/NC356)-18-104-2-1-B5-B6,78,79,75,61,32,10,,,,,,,,20499,3/14/2018,24,,,10,84,12.5,4,2.5,1,,,rougues,41.67%
CS18-YC1I-028,CS,2018,YC1I,028,Y452,1,CS15-YUAN-468-B4,(Tx740/NC356)-18-154-2-1-B4,75,75,71,56,25,9,,,,,,,,18449,3/14/2018,24,,,10,83,12.5,4,2.5,1,,,,37.50%
CS18-YC1I-029,CS,2018,YC1I,029,Y356,1,CS16-YUAV-480-B6,(Tx740/NC356)-18-026-1-1-B4-B6,77,76,60,44,16,11,,,,,,,,22549,3/14/2018,24,,,10,82,12.5,4,2.5,1,,,,45.83%
CS18-YC1I-030,CS,2018,YC1I,030,Y429,1,CS14-YUAN-374-2,(Tx740/NC356)-18-085-2,77,82,62,46,21,10,,,,,,,,20499,3/14/2018,24,,,10,81,12.5,4,2.5,1,,,,41.67%
CS18-YC1I-031,CS,2018,YC1I,031,Y351,1,wf17-yuan-044-B,(Tx740/NC356)-18-013-1-1-B2-B,79,82,61,45,27,9,,,,,,,,18449,3/14/2018,24,,,10,80,12.5,4,2.5,1,,,,37.50%
CS18-YC1I-032,CS,2018,YC1I,032,Y389,1,WF17-YUAN-059-B,(Tx740/NC356)-18-130-1-1-B2-B,77,77,69,54,30,6,,,,,,,,12299,3/14/2018,24,,,10,79,12.5,4,2.5,1,,,,25.00%
CS18-YC1I-033,CS,2018,YC1I,033,Y441,1,CS16-YUAV-450-B4,(Tx740/NC356)-18-126-2-B4-B4,80,81,61,45,25,13,,,,,,,,26648,3/14/2018,24,,,11,79,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-034,CS,2018,YC1I,034,Y444,1,CS16-YUAV-511-B7,(Tx740/NC356)-18-130-2-1-B4-B7,,79,55,41,25,10,,,,,,,,20499,3/14/2018,24,,,11,80,12.5,4,2.5,1,,,,41.67%
CS18-YC1I-035,CS,2018,YC1I,035,Y349,1,CS15-YUAN-457-B5,(Tx740/NC356)-18-006-1-B5,74,75,56,41,18,17,,,,,,,,34848,3/14/2018,24,,,11,81,12.5,4,2.5,1,,,nice line,70.83%
CS18-YC1I-036,CS,2018,YC1I,036,Y453,1,CS14-YUAN-398-2,(Tx740/NC356)-18-157-2,79,85,61,46,30,15,,,,,,,,30748,3/14/2018,24,,,11,82,12.5,4,2.5,1,,,,62.50%
CS18-YC1I-037,CS,2018,YC1I,037,Y431,1,WF17-YUAN-076-B,(Tx740/NC356)-18-087-2-1-B,79,83,62,47,23,17,,,,,,,,34848,3/14/2018,24,,,11,83,12.5,4,2.5,1,,,,70.83%
CS18-YC1I-038,CS,2018,YC1I,038,Y414,1,CS14-YUAN-359-2,(Tx740/NC356)-18-038-2,78,77,59,45,23,15,,,,,,,,30748,3/14/2018,24,,,11,84,12.5,4,2.5,1,,,,62.50%
CS18-YC1I-039,CS,2018,YC1I,039,Y437,1,CS16-YUAV-441-B8,(Tx740/NC356)-18-109-2-1-B4-B8,77,79,68,51,27,11,,,,,,,,22549,3/14/2018,24,,,11,85,12.5,4,2.5,1,,,,45.83%
CS18-YC1I-040,CS,2018,YC1I,040,Ki3,1,Ki3,,81,84,54,40,24,17,,,,,,,,34848,3/14/2018,24,,,11,86,12.5,4,2.5,1,,,,70.83%
