Taxa,PHT,P95
NC356,1.72384847757974,1.14914136198023
Tx740,1.68588719332229,1.09561327724
Y346,1.74663637263032,1.09097912277615
Y347,1.60335380231024,1.06745411534433
Y348,1.76041063072604,1.04837324492264
Y349,1.46599650926274,1.00504559931489
Y351,1.55830878314807,1.0480632906732
Y352,1.68575231199263,1.11586939933138
Y353,1.73034576967174,1.20197542230188
Y354,1.36534848830189,NA
Y355,1.54090841043918,1.02249760608597
Y356,1.55125263323738,0.991313087808834
Y357,1.62116729057326,1.11024350617973
Y359,1.59004665791753,1.06477445488553
Y360,1.66838404415359,1.16176344654461
Y361,1.74795794132287,1.08549998665372
Y362,1.51930405098474,1.03674619409924
Y363,1.64402420257178,1.07361622096147
Y364,1.46035234499984,1.01690676599482
Y365,1.8763357614713,1.33414980441095
Y366,1.79732157249736,1.06318346346387
Y367,1.61193206889418,1.06546481824869
Y368,1.71373020368399,1.18710643986111
Y369,1.61394289693658,0.975495408909396
Y370,1.58922392165575,1.10951860921436
Y371,1.70072784531177,1.14782993149249
Y372,1.87098582564807,1.1748374275197
Y373,1.64596297172627,1.13861618741166
Y374,1.43812757704003,0.910042658894518
Y375,1.667576445418,1.09169653195362
Y376,1.64591157803231,1.14796834475325
Y377,1.76287992583702,1.08627622645111
Y378,1.6332566930498,1.09125994285881
Y379,1.73392898545433,1.17236314671554
Y380,1.74166427787947,1.12900353707363
Y381,1.64591157803231,1.18718077018319
Y382,1.70931947466606,1.17915198107601
Y383,1.72434119143263,1.07481777668719
Y384,1.62071295030882,1.00473326980818
Y385,1.65369422617072,1.06724335025112
Y386,1.50365793919007,1.08126619988848
Y387,1.66051383950506,1.07002368696007
Y388,1.72076186550585,1.05175829048001
Y389,1.70546852243685,1.11271668556983
Y390,1.67002795031531,1.1479734422353
Y391,1.93506799695288,1.28088062476146
Y392,1.62370503649415,1.05908174797205
Y393,1.67472453769946,1.11860657485315
Y394,1.91967047138915,1.39736231929944
Y395,1.48896120806901,1.02738994390594
Y396,1.94166867763679,1.31356345813752
Y397,1.6283149501799,1.12503613887707
Y398,1.58169341628973,1.04848470417088
Y400,1.57682225011561,1.04363310094004
Y401,1.65684430804167,1.14418060011572
Y402,1.53071144037157,0.995326652565763
Y403,1.63231092461494,1.03030438767095
Y404,1.61626491780084,0.985825449898776
Y405,1.67897602865754,1.11714921516121
Y406,1.72481614632598,1.18426989836357
Y407,1.66944942727606,1.125532572634
Y408,1.69846669542156,1.11909237296074
Y409,1.69815212505377,1.10668268066028
Y410,1.70181661373896,1.11810803004625
Y411,1.55116014214471,1.08501381709411
Y412,1.62078682893549,1.02348870238942
Y414,1.51817210033906,1.03700520816616
Y415,1.42418545784345,0.983137582234941
Y416,1.70885213992682,1.08136732983995
Y417,1.64823359889657,1.08881223403821
Y419,1.80667279196122,1.10957007829703
Y420,1.65498256939453,1.08276765486538
Y421,1.55365365822276,1.04014744235019
Y423,1.68989743320637,1.07227637688932
Y424,1.57129496753164,1.09242268346722
Y425,1.78339317319407,1.15837157468324
Y426,1.63181035618793,0.957626834236636
Y427,1.76342465708962,1.17689915396992
Y428,1.67236943190593,1.15762460208425
Y429,1.60412551438275,0.969165834216281
Y430,1.70571779590278,1.22370377142764
Y431,1.60918250232307,1.19474575398357
Y432,1.70092179826129,1.05397743736345
Y434,1.72503289272618,1.10886006937781
Y435,1.8627249308722,1.16747965119053
Y436,1.47563991781518,1.02840982503882
Y437,1.76704599213094,1.20934736347129
Y438,1.59495643245666,1.00493744832228
Y439,1.56945658269673,1.11732215852616
Y440,1.70661734065966,1.08218850711542
Y441,1.6608172735882,1.10593819676541
Y442,1.63392926888119,1.03162483649135
Y443,1.75945538834195,1.16343135273557
Y444,1.60357541834999,1.05834490926794
Y445,1.70404173041447,1.0394245948457
Y446,1.61830256629467,1.18078290972953
Y449,2.0074524683712,1.20272704617561
Y450,1.49722210284487,1.04879408614759
Y451,1.93608066523492,1.28860572788741
Y452,1.67538720443466,1.0893742349852
Y453,1.62089578027992,1.14268927478747
Y454,1.66688838013705,1.07885461468409
Y455,1.64425622313421,1.12070446327147
